X,Y,Layer,Eff_ADC,E
-58.0919,-29.0016,1,99.71,405.462
-51.8504,-36.6091,1,96.33,405.462
-59.579,-27.4,1,324.48,405.462
-49.7199,-47.5063,1,420.81,405.462
-49.7199,-46.7056,1,365.04,405.462
-49.7199,-45.9048,1,96.33,405.462
-49.7199,-45.104,1,126.75,405.462
-49.0264,-47.1059,1,1010.62,405.462
-49.0264,-46.3052,1,1183.8,405.462
-49.0264,-41.5004,1,91.26,405.462
-48.3329,-47.5063,1,667.55,405.462
-48.3329,-46.7056,1,395.46,405.462
-47.6394,-47.9067,1,150.41,405.462
-47.6394,-47.1059,1,239.98,405.462
-46.9459,-47.5063,1,169,405.462
-46.9459,-46.7056,1,121.68,405.462
-46.2524,-49.5083,1,138.58,405.462
-45.5589,-45.104,1,145.34,405.462
-36.5433,-42.3012,1,155.48,405.462
-48.3829,-50.7961,1,282.23,405.462
-3.69868,-59.6048,1,260.26,405.462
-3.00518,-58.4036,1,86.19,405.462
-55.3179,-32.2048,2,103.09,405.462
-59.579,-27.4,2,258.57,405.462
-58.8854,-27.8004,2,414.05,405.462
-49.7199,-47.5063,2,373.49,405.462
-49.7199,-46.7056,2,2287.49,405.462
-49.7199,-45.9048,2,228.15,405.462
-49.7199,-44.3032,2,267.02,405.462
-49.0264,-47.9067,2,238.29,405.462
-49.0264,-47.1059,2,5641.02,405.462
-49.0264,-46.3052,2,829.79,405.462
-48.3329,-47.5063,2,1608.3,405.462
-47.6394,-47.9067,2,420.81,405.462
-47.6394,-47.1059,2,226.46,405.462
-46.2524,-50.3091,2,365.04,405.462
-46.2524,-49.5083,2,883.87,405.462
-45.5589,-49.9087,2,119.99,405.462
-42.0914,-44.7036,2,273.78,405.462
-37.2368,-44.3032,2,204.49,405.462
-36.5433,-43.9028,2,94.64,405.462
-56.7549,-35.4945,2,126.75,405.462
-56.0614,-47.9067,2,141.96,405.462
-53.9809,-49.9087,2,87.88,405.462
-52.5939,-40.2992,2,177.45,405.462
-50.5134,-47.1059,2,212.94,405.462
-49.7699,-57.2024,2,91.26,405.462
-49.7699,-56.4016,2,119.99,405.462
-48.3829,-50.7961,2,89.57,405.462
-5.08569,-60.4056,2,125.06,405.462
-3.69868,-59.6048,2,94.64,405.462
-46.3024,2.00197,3,153.79,405.462
-58.0919,-33.0055,3,111.54,405.462
-51.8504,-35.0075,3,114.92,405.462
-62.353,-24.9977,3,116.61,405.462
-59.579,-27.4,3,356.59,405.462
-29.5083,-47.1059,3,233.22,405.462
-49.7199,-48.3071,3,126.75,405.462
-49.7199,-47.5063,3,4155.28,405.462
-49.7199,-46.7056,3,5386.32,405.462
-49.7199,-45.9048,3,322.79,405.462
-49.0264,-48.7075,3,87.88,405.462
-49.0264,-47.9067,3,3476.08,405.462
-49.0264,-47.1059,3,7254.11,405.462
-49.0264,-46.3052,3,895.7,405.462
-49.0264,-45.5044,3,99.71,405.462
-48.3329,-48.3071,3,148.72,405.462
-48.3329,-47.5063,3,701.35,405.462
-48.3329,-46.7056,3,381.94,405.462
-47.6394,-46.3052,3,118.3,405.462
-46.9459,-49.9087,3,248.43,405.462
-46.9459,-46.7056,3,148.72,405.462
-46.2524,-50.3091,3,1014,405.462
-46.2524,-49.5083,3,324.48,405.462
-45.5589,-44.3032,3,196.04,405.462
-56.7549,-36.2953,3,218.01,405.462
-56.7549,-35.4945,3,338,405.462
-51.2069,-48.3071,3,221.39,405.462
-50.5134,-47.9067,3,189.28,405.462
-50.5134,-47.1059,3,239.98,405.462
-50.5134,-45.5044,3,167.31,405.462
-50.5134,-44.7036,3,99.71,405.462
-12.7642,-46.3052,3,373.49,405.462
-36.4933,-51.9973,3,196.04,405.462
-50.4634,-49.5949,3,280.54,405.462
-49.7699,-49.1945,3,180.83,405.462
-49.0764,-51.1965,3,104.78,405.462
-47.6894,-64.8099,3,1098.9,405.462
-46.9959,-64.4095,3,106.47,405.462
-46.3024,2.00197,4,170.69,405.462
-58.8354,-22.1083,4,239.98,405.462
-66.514,-31.404,4,94.64,405.462
-60.2725,-28.6012,4,99.71,405.462
-60.2725,-27.8004,4,268.71,405.462
-60.2725,-26.9996,4,341.38,405.462
-59.579,-27.4,4,613.47,405.462
-49.7199,-48.3071,4,697.97,405.462
-49.7199,-47.5063,4,18630.6,405.462
-49.7199,-46.7056,4,5810.82,405.462
-49.7199,-45.104,4,378.56,405.462
-49.0264,-48.7075,4,339.69,405.462
-49.0264,-47.9067,4,6999.41,405.462
-49.0264,-47.1059,4,2117.69,405.462
-49.0264,-46.3052,4,366.73,405.462
-48.3329,-49.1079,4,184.21,405.462
-48.3329,-48.3071,4,150.41,405.462
-48.3329,-47.5063,4,375.18,405.462
-48.3329,-46.7056,4,397.15,405.462
-48.3329,-45.9048,4,121.68,405.462
-47.6394,-47.1059,4,172.38,405.462
-47.6394,-46.3052,4,108.16,405.462
-46.9459,-49.9087,4,500.24,405.462
-46.2524,-50.3091,4,1268.7,405.462
-46.2524,-49.5083,4,662.48,405.462
-45.5589,-49.9087,4,557.7,405.462
-57.4484,-35.8949,4,150.41,405.462
-56.7549,-36.2953,4,425.88,405.462
-53.2874,-47.1059,4,126.75,405.462
-51.2069,-46.7056,4,148.72,405.462
-50.5134,-47.9067,4,177.45,405.462
-50.5134,-47.1059,4,887.25,405.462
-50.5134,-46.3052,4,282.23,405.462
-50.4634,-48.7941,4,385.32,405.462
-49.7699,-57.2024,4,119.99,405.462
-49.7699,-49.1945,4,187.59,405.462
-49.0764,-49.5949,4,158.86,405.462
-47.6894,-51.1965,4,169,405.462
-46.9959,-50.7961,4,192.66,405.462
-46.3024,-51.1965,4,288.99,405.462
-3.00518,-59.2044,4,182.52,405.462
-3.00518,-58.4036,4,118.3,405.462
-46.9959,3.20315,5,170.69,405.462
-60.2725,-27.8004,5,131.82,405.462
-60.2725,-26.9996,5,393.77,405.462
-59.579,-26.5992,5,99.71,405.462
