X,Y,Layer,Eff_ADC,E
-67.2075,-9.20907,1,466.44,400.179
-66.514,-8.80868,1,108.16,400.179
-66.464,-10.4969,1,165.62,400.179
-66.464,-9.69607,1,605.02,400.179
-65.7705,-10.0965,1,118.3,400.179
-67.901,-7.2071,2,202.8,400.179
-67.2075,-9.20907,2,1183.8,400.179
-67.2075,-5.20513,2,212.94,400.179
-66.514,-8.80868,2,131.82,400.179
-66.514,-6.40631,2,86.19,400.179
-65.127,0,2,96.33,400.179
-63.74,-6.40631,2,219.7,400.179
-66.464,-10.4969,2,206.18,400.179
-66.464,-9.69607,2,515.45,400.179
-65.077,-14.5008,2,138.58,400.179
-64.3835,-9.29567,2,214.63,400.179
-60.916,-8.09449,2,99.71,400.179
-67.2575,-10.0965,2,319.41,400.179
-67.2075,-9.20907,3,1141.35,400.179
-67.2075,-5.20513,3,207.87,400.179
-66.514,-8.80868,3,162.24,400.179
-66.464,-15.3016,3,92.95,400.179
-66.464,-14.5008,3,312.65,400.179
-66.464,-12.0984,3,116.61,400.179
-66.464,-10.4969,3,219.7,400.179
-66.464,-9.69607,3,256.88,400.179
-65.7705,-14.9012,3,452.92,400.179
-65.7705,-14.1004,3,130.13,400.179
-65.077,-9.69607,3,119.99,400.179
-61.6095,-11.698,3,169,400.179
-72.8055,-12.4988,3,278.85,400.179
-69.338,-10.4969,3,89.57,400.179
-68.6445,-10.0965,3,152.1,400.179
-68.6445,-9.29567,3,297.44,400.179
-67.951,-10.4969,3,689.52,400.179
-67.951,-9.69607,3,1735.65,400.179
-67.2575,-10.8972,3,287.3,400.179
-67.2575,-10.0965,3,7339.01,400.179
-63.74,-23.3961,3,101.4,400.179
-56.7049,-3.20315,4,119.99,400.179
-70.675,-5.60552,4,253.5,400.179
-67.901,-8.80868,4,297.44,400.179
-67.901,-5.60552,4,138.58,400.179
-67.901,-4.80473,4,794.3,400.179
-67.901,-4.00394,4,211.25,400.179
-67.2075,-9.20907,4,292.37,400.179
-67.2075,-6.00592,4,104.78,400.179
-67.2075,-5.20513,4,101.4,400.179
-67.2075,-4.40434,4,118.3,400.179
-66.464,-16.9032,4,231.53,400.179
-66.464,-15.3016,4,145.34,400.179
-66.464,-14.5008,4,138.58,400.179
-66.464,-10.4969,4,185.9,400.179
-66.464,-9.69607,4,136.89,400.179
-65.7705,-14.9012,4,400.53,400.179
-65.077,-15.3016,4,147.03,400.179
-72.8055,-9.29567,4,94.64,400.179
-70.725,-10.4969,4,163.93,400.179
-70.0315,-13.2996,4,174.07,400.179
-69.338,-9.69607,4,130.13,400.179
-69.338,-8.89528,4,302.51,400.179
-68.6445,-10.0965,4,605.02,400.179
-68.6445,-9.29567,4,207.87,400.179
-67.951,-10.4969,4,349.83,400.179
-67.951,-9.69607,4,12220.7,400.179
-67.2575,-10.8972,4,772.33,400.179
-67.2575,-10.0965,4,6277.77,400.179
-71.3685,-4.40434,5,153.79,400.179
-68.5945,-8.40828,5,180.83,400.179
-67.901,-8.80868,5,395.46,400.179
-67.901,-8.00789,5,730.08,400.179
-67.901,-4.80473,5,574.6,400.179
-67.2075,-9.20907,5,605.02,400.179
-67.2075,-8.40828,5,719.94,400.179
-66.514,-8.80868,5,419.12,400.179
-65.127,-6.40631,5,319.41,400.179
-61.6595,-3.60355,5,267.02,400.179
-66.464,-15.3016,5,292.37,400.179
-66.464,-11.2976,5,116.61,400.179
-66.464,-10.4969,5,297.44,400.179
-66.464,-9.69607,5,280.54,400.179
-65.7705,-17.3036,5,157.17,400.179
-65.7705,-11.698,5,103.09,400.179
-65.077,-14.5008,5,125.06,400.179
-72.112,-8.89528,5,160.55,400.179
-70.0315,-9.29567,5,91.26,400.179
-69.338,-11.2976,5,268.71,400.179
-69.338,-10.4969,5,366.73,400.179
-69.338,-9.69607,5,91.26,400.179
-69.338,-8.89528,5,125.06,400.179
-68.6445,-11.698,5,338,400.179
-68.6445,-10.8972,5,561.08,400.179
-68.6445,-10.0965,5,2372.39,400.179
-68.6445,-9.29567,5,1353.6,400.179
-67.951,-11.2976,5,207.87,400.179
-67.951,-10.4969,5,4027.93,400.179
-67.951,-9.69607,5,20116.4,400.179
-67.2575,-12.4988,5,625.3,400.179
-67.2575,-10.8972,5,689.52,400.179
-67.2575,-10.0965,5,3943.03,400.179
-71.3685,-6.8067,6,152.1,400.179
-71.3685,-6.00592,6,236.6,400.179
-68.5945,-8.40828,6,226.46,400.179
-68.5945,-5.20513,6,515.45,400.179
-68.5945,-4.40434,6,381.94,400.179
-67.901,-8.80868,6,103.09,400.179
-67.2075,-9.20907,6,632.06,400.179
-67.2075,-5.20513,6,109.85,400.179
-66.514,-7.2071,6,109.85,400.179
-65.127,-8.00789,6,128.44,400.179
-66.464,-15.3016,6,192.66,400.179
-66.464,-10.4969,6,125.06,400.179
-66.464,-9.69607,6,1311.15,400.179
-65.7705,-12.4988,6,106.47,400.179
-65.077,-13.7,6,147.03,400.179
-62.9965,-9.29567,6,152.1,400.179
-76.9665,-10.8972,6,184.21,400.179
-75.5795,-6.09252,6,184.21,400.179
-71.4185,-10.8972,6,121.68,400.179
-70.0315,-10.8972,6,207.87,400.179
-70.0315,-9.29567,6,172.38,400.179
-70.0315,-8.49488,6,598.26,400.179
-69.338,-10.4969,6,1735.65,400.179
-69.338,-9.69607,6,779.09,400.179
-69.338,-8.89528,6,532.35,400.179
-68.6445,-11.698,6,152.1,400.179
-68.6445,-10.8972,6,290.68,400.179
-68.6445,-10.0965,6,10480.3,400.179
-68.6445,-9.29567,6,3433.63,400.179
-67.951,-14.5008,6,145.34,400.179
-67.951,-12.0984,6,212.94,400.179
-67.951,-10.4969,6,2372.39,400.179
-67.951,-9.69607,6,23215.2,400.179
-67.2575,-10.8972,6,275.47,400.179
