X,Y,Layer,Eff_ADC,E
-78.3535,-12.4988,1,114.92,621.719
-78.3535,-7.6941,1,155.48,621.719
-78.3535,-6.89331,1,199.42,621.719
-77.66,-13.7,1,231.53,621.719
-77.66,-12.8992,1,1098.9,621.719
-77.66,-12.0984,1,99.71,621.719
-77.66,-10.4969,1,104.78,621.719
-77.66,-8.09449,1,147.03,621.719
-76.9665,-13.2996,1,104.78,621.719
-76.9665,-12.4988,1,121.68,621.719
-72.062,-29.0016,1,147.03,621.719
-72.062,-24.1969,1,155.48,621.719
-72.062,-23.3961,1,177.45,621.719
-71.3685,-28.6012,1,201.11,621.719
-71.3685,-26.9996,1,92.95,621.719
-70.675,-33.0055,1,148.72,621.719
-95.61,-22.9957,1,197.16,621.719
-71.3685,-1.20118,2,138.58,621.719
-79.047,-12.8992,2,116.61,621.719
-78.3535,-7.6941,2,613.47,621.719
-78.3535,-6.89331,2,701.35,621.719
-77.66,-13.7,2,381.94,621.719
-77.66,-12.8992,2,4452.43,621.719
-77.66,-12.0984,2,319.41,621.719
-76.9665,-13.2996,2,135.2,621.719
-76.9665,-12.4988,2,314.34,621.719
-75.5795,-6.89331,2,113.23,621.719
-74.1425,-24.5973,2,155.48,621.719
-72.062,-29.0016,2,488.41,621.719
-72.062,-23.3961,2,155.48,621.719
-71.3685,-23.7965,2,179.14,621.719
-81.8211,-13.7,3,140.27,621.719
-80.4341,-12.8992,3,99.71,621.719
-79.7405,-21.3075,3,709.8,621.719
-79.047,-13.7,3,131.82,621.719
-79.047,-7.2937,3,1650.75,621.719
-78.3535,-14.9012,3,214.63,621.719
-78.3535,-14.1004,3,655.72,621.719
-78.3535,-13.2996,3,3645.88,621.719
-78.3535,-12.4988,3,2075.24,621.719
-78.3535,-11.698,3,234.91,621.719
-78.3535,-7.6941,3,466.44,621.719
-78.3535,-6.89331,3,664.17,621.719
-77.66,-14.5008,3,116.61,621.719
-77.66,-13.7,3,971.75,621.719
-77.66,-12.8992,3,1226.25,621.719
