X,Y,Layer,Eff_ADC,E
61.1971,-30.2028,1,226.46,526.045
-28.1213,-44.7036,1,190.97,526.045
-22.5733,-39.8988,1,211.25,526.045
54.2121,-46.3052,1,89.57,526.045
54.9056,-46.7056,1,152.1,526.045
6.70387,-61.6067,1,201.11,526.045
28.3525,-72.504,1,86.19,526.045
28.3525,-69.3008,1,329.55,526.045
35.2719,-73.1046,1,112,526.045
36.3122,-67.6993,1,675.355,526.045
37.3524,-67.0987,1,1931.26,526.045
38.3927,-67.6993,1,134,526.045
38.3927,-66.4981,1,612,526.045
53.0563,-74.9064,1,105.4,526.045
61.1971,-30.2028,2,136.89,526.045
61.8906,-30.6032,2,520.52,526.045
61.8906,-29.8024,2,155.48,526.045
40.192,-63.2083,2,94.64,526.045
28.3525,-70.1016,2,167.31,526.045
35.2719,-69.501,2,111,526.045
35.2719,-68.2999,2,196,526.045
36.3122,-67.6993,2,223,526.045
37.3524,-68.2999,2,233,526.045
37.3524,-67.0987,2,1052.13,526.045
38.3927,-67.6993,2,8537.35,526.045
38.3927,-66.4981,2,1227.95,526.045
39.4329,-67.0987,2,198,526.045
40.4732,-72.504,2,160,526.045
61.8906,-30.6032,3,153.79,526.045
61.8906,-29.8024,3,427.57,526.045
62.5841,-31.0036,3,104.78,526.045
62.5841,-30.2028,3,145.34,526.045
63.2776,-30.6032,3,319.41,526.045
53.5186,-41.1,3,292.37,526.045
54.9056,-45.9048,3,466.44,526.045
54.9056,-41.1,3,471.51,526.045
40.8855,-61.2063,3,96.33,526.045
7.44737,-66.8985,3,89.57,526.045
36.3122,-67.6993,3,353,526.045
37.3524,-69.501,3,139,526.045
37.3524,-68.2999,3,2282.92,526.045
37.3524,-67.0987,3,1981.5,526.045
37.3524,-65.8975,3,235,526.045
38.3927,-70.1016,3,319,526.045
38.3927,-68.9004,3,876.3,526.045
38.3927,-67.6993,3,23608.3,526.045
38.3927,-66.4981,3,1227.95,526.045
38.3927,-65.2969,3,222,526.045
39.4329,-68.2999,3,1052.13,526.045
39.4329,-67.0987,3,1855.91,526.045
39.4329,-65.8975,3,122,526.045
40.4732,-72.504,3,1152.6,526.045
40.4732,-67.6993,3,115,526.045
41.5134,-67.0987,3,96,526.045
50.9757,-71.3028,3,399,526.045
58.3231,-28.6012,4,91.26,526.045
61.8906,-29.8024,4,135.2,526.045
62.5841,-30.2028,4,86.19,526.045
62.5841,-29.402,4,343.07,526.045
63.2776,-29.8024,4,491.79,526.045
54.9056,-44.3032,4,167.31,526.045
54.9056,-43.5024,4,104.78,526.045
60.4536,-44.3032,4,138.58,526.045
37.418,-64.8099,4,273.78,526.045
8.14087,-68.9004,4,150.41,526.045
26.272,-67.2989,4,228.15,526.045
32.5135,-67.6993,4,113.23,526.045
35.2719,-68.2999,4,256,526.045
36.3122,-67.6993,4,232,526.045
37.3524,-69.501,4,328,526.045
37.3524,-68.2999,4,1177.72,526.045
37.3524,-67.0987,4,437,526.045
38.3927,-70.1016,4,600,526.045
38.3927,-68.9004,4,1755.44,526.045
38.3927,-67.6993,4,42899,526.045
38.3927,-66.4981,4,926.536,526.045
38.3927,-65.2969,4,88,526.045
39.4329,-71.9034,4,115,526.045
39.4329,-69.501,4,460,526.045
39.4329,-68.2999,4,2860.64,526.045
39.4329,-67.0987,4,1001.89,526.045
39.4329,-65.8975,4,518,526.045
40.4732,-70.1016,4,192,526.045
40.4732,-67.6993,4,140,526.045
40.4732,-66.4981,4,320,526.045
41.5134,-73.1046,4,157,526.045
41.5134,-69.501,4,172,526.045
41.5134,-65.8975,4,103,526.045
43.594,-75.507,4,242,526.045
61.1971,-30.2028,5,427.57,526.045
61.8906,-30.6032,5,101.4,526.045
62.5841,-29.402,5,130.13,526.045
-26.0408,-43.5024,5,118.3,526.045
55.5991,-40.6996,5,123.37,526.045
23.4479,-56.802,5,332.93,526.045
37.418,-64.8099,5,152.1,526.045
47.2271,-60.0052,5,185.9,526.045
20.7239,-72.1036,5,106.47,526.045
22.8044,-74.9064,5,87.88,526.045
35.2719,-67.0987,5,315,526.045
36.3122,-76.1075,5,108,526.045
36.3122,-72.504,5,182,526.045
36.3122,-71.3028,5,93,526.045
36.3122,-70.1016,5,179,526.045
36.3122,-68.9004,5,365,526.045
36.3122,-67.6993,5,226,526.045
36.3122,-66.4981,5,264,526.045
37.3524,-69.501,5,926.536,526.045
37.3524,-68.2999,5,3388.12,526.045
37.3524,-67.0987,5,926.536,526.045
37.3524,-65.8975,5,99,526.045
38.3927,-73.7052,5,113,526.045
38.3927,-70.1016,5,1454.02,526.045
38.3927,-68.9004,5,36292.9,526.045
38.3927,-67.6993,5,18710.2,526.045
38.3927,-66.4981,5,573,526.045
39.4329,-70.7022,5,185,526.045
39.4329,-69.501,5,1403.78,526.045
39.4329,-68.2999,5,16951.9,526.045
39.4329,-67.0987,5,2634.57,526.045
39.4329,-65.8975,5,318,526.045
40.4732,-71.3028,5,103,526.045
40.4732,-70.1016,5,234,526.045
40.4732,-68.9004,5,1102.36,526.045
40.4732,-67.6993,5,1127.48,526.045
40.4732,-66.4981,5,116,526.045
41.5134,-69.501,5,215,526.045
42.5537,-65.2969,5,125,526.045
46.7147,-70.1016,5,108,526.045
49.8355,-71.9034,5,218,526.045
37.418,-6.00592,6,422.5,526.045
62.5841,-29.402,6,109.85,526.045
63.2776,-29.0016,6,194.35,526.045
56.9861,-43.9028,6,260.26,526.045
37.418,-51.9973,6,101.4,526.045
22.8044,-74.9064,6,152.1,526.045
31.82,-67.2989,6,111.54,526.045
32.5135,-67.6993,6,89.57,526.045
33.207,-68.0997,6,101.4,526.045
34.2317,-72.504,6,133,526.045
35.2719,-68.2999,6,107,526.045
36.3122,-71.3028,6,107,526.045
36.3122,-68.9004,6,92,526.045
36.3122,-67.6993,6,213,526.045
36.3122,-66.4981,6,214,526.045
37.3524,-76.7081,6,195,526.045
37.3524,-70.7022,6,409,526.045
37.3524,-69.501,6,725.591,526.045
37.3524,-68.2999,6,1027.01,526.045
37.3524,-67.0987,6,208,526.045
38.3927,-73.7052,6,97,526.045
38.3927,-71.3028,6,538,526.045
38.3927,-70.1016,6,826.064,526.045
38.3927,-68.9004,6,54453.4,526.045
38.3927,-67.6993,6,5698.99,526.045
38.3927,-66.4981,6,127,526.045
39.4329,-71.9034,6,94,526.045
39.4329,-70.7022,6,675.355,526.045
39.4329,-69.501,6,5297.1,526.045
39.4329,-68.2999,6,22779.4,526.045
39.4329,-67.0987,6,1278.19,526.045
39.4329,-65.8975,6,212,526.045
40.4732,-70.1016,6,351,526.045
40.4732,-68.9004,6,1202.84,526.045
40.4732,-67.6993,6,826.064,526.045
40.4732,-66.4981,6,118,526.045
40.4732,-65.2969,6,222,526.045
41.5134,-69.501,6,141,526.045
41.5134,-68.2999,6,339,526.045
41.5134,-63.4951,6,88,526.045
42.5537,-77.3087,6,92,526.045
42.5537,-67.6993,6,94,526.045
42.5537,-66.4981,6,125,526.045
43.594,-71.9034,6,91,526.045
43.594,-69.501,6,117,526.045
43.594,-68.2999,6,170,526.045
44.6342,-72.504,6,156,526.045
47.755,-71.9034,6,128,526.045
34.1817,-79.7977,6,149,526.045
35.2219,-79.1971,6,472,526.045
20.6739,-59.2044,7,98.02,526.045
36.7245,-59.6048,7,194.35,526.045
38.805,-64.0091,7,270.4,526.045
38.805,-62.4075,7,94.64,526.045
48.6141,-65.6107,7,86.19,526.045
23.4979,-76.1075,7,174.07,526.045
23.4979,-66.4981,7,177.45,526.045
32.5135,-74.1056,7,123.37,526.045
34.2317,-70.1016,7,316,526.045
35.2719,-71.9034,7,225,526.045
35.2719,-69.501,7,233,526.045
35.2719,-68.2999,7,99,526.045
35.2719,-67.0987,7,253,526.045
36.3122,-76.1075,7,138,526.045
36.3122,-72.504,7,326,526.045
36.3122,-71.3028,7,127,526.045
36.3122,-70.1016,7,241,526.045
36.3122,-68.9004,7,497,526.045
36.3122,-67.6993,7,358,526.045
37.3524,-71.9034,7,338,526.045
37.3524,-70.7022,7,464,526.045
37.3524,-69.501,7,3187.17,526.045
37.3524,-68.2999,7,2559.22,526.045
37.3524,-67.0987,7,452,526.045
38.3927,-71.3028,7,700.473,526.045
38.3927,-70.1016,7,4794.74,526.045
38.3927,-68.9004,7,38905.2,526.045
38.3927,-67.6993,7,3363,526.045
38.3927,-66.4981,7,1077.25,526.045
39.4329,-75.507,7,101,526.045
39.4329,-71.9034,7,157,526.045
39.4329,-70.7022,7,1177.72,526.045
39.4329,-69.501,7,24010.1,526.045
39.4329,-68.2999,7,22754.2,526.045
39.4329,-67.0987,7,1001.89,526.045
39.4329,-65.8975,7,110,526.045
39.4329,-64.6963,7,152,526.045
40.4732,-73.7052,7,113,526.045
40.4732,-71.3028,7,523,526.045
40.4732,-70.1016,7,1881.03,526.045
40.4732,-68.9004,7,5171.51,526.045
40.4732,-67.6993,7,1428.9,526.045
40.4732,-66.4981,7,442,526.045
41.5134,-71.9034,7,302,526.045
41.5134,-70.7022,7,346,526.045
41.5134,-69.501,7,542,526.045
41.5134,-68.2999,7,675.355,526.045
41.5134,-67.0987,7,518,526.045
42.5537,-74.9064,7,305,526.045
42.5537,-72.504,7,134,526.045
42.5537,-70.1016,7,109,526.045
42.5537,-68.9004,7,422,526.045
42.5537,-67.6993,7,145,526.045
42.5537,-66.4981,7,129,526.045
43.594,-73.1046,7,160,526.045
43.594,-70.7022,7,95,526.045
43.594,-68.2999,7,95,526.045
44.6342,-71.3028,7,185,526.045
44.6342,-67.6993,7,110,526.045
44.6342,-65.2969,7,88,526.045
38.805,-61.6067,8,224.77,526.045
41.579,-61.6067,8,99.71,526.045
22.8044,-75.7071,8,86.19,526.045
31.1265,-72.504,8,288.99,526.045
59.3478,-54.3996,8,183,526.045
35.2719,-73.1046,8,123,526.045
35.2719,-71.9034,8,287,526.045
35.2719,-69.501,8,354,526.045
36.3122,-71.3028,8,167,526.045
