X,Y,Layer,Eff_ADC,E
-43.4784,-14.1004,1,275.47,492.034
-54.6744,-17.3036,1,398.84,492.034
-53.9809,-17.704,1,581.36,492.034
-53.9809,-16.9032,1,334.62,492.034
-53.2874,-19.7059,1,104.78,492.034
-53.2874,-18.9051,1,299.13,492.034
-63.0465,-2.00197,2,153.79,492.034
-55.3679,-17.704,2,224.77,492.034
-54.6744,-17.3036,2,4027.93,492.034
-53.9809,-20.1063,2,172.38,492.034
-53.9809,-19.3055,2,1007.24,492.034
-53.9809,-18.5047,2,540.8,492.034
-53.9809,-16.9032,2,219.7,492.034
-53.2874,-18.9051,2,214.63,492.034
-53.2874,-17.3036,2,140.27,492.034
-53.2874,-16.5028,2,114.92,492.034
-52.5939,-15.3016,2,121.68,492.034
-56.0114,-23.7965,2,121.68,492.034
-60.2725,-27.8004,2,104.78,492.034
-74.836,-4.80473,3,125.06,492.034
-58.8354,-20.5067,3,278.85,492.034
-56.0614,-18.9051,3,162.24,492.034
-56.0614,-16.5028,3,261.95,492.034
-56.0614,-14.9012,3,160.55,492.034
-55.3679,-18.5047,3,390.39,492.034
-55.3679,-17.704,3,667.55,492.034
-55.3679,-16.9032,3,752.05,492.034
-55.3679,-16.1024,3,1141.35,492.034
-54.6744,-19.7059,3,94.64,492.034
-54.6744,-18.9051,3,515.45,492.034
-54.6744,-18.1043,3,1353.6,492.034
-54.6744,-17.3036,3,10310.5,492.034
-54.6744,-16.5028,3,817.96,492.034
-54.6744,-15.702,3,304.2,492.034
-54.6744,-14.9012,3,297.44,492.034
-53.9809,-20.1063,3,211.25,492.034
-53.9809,-19.3055,3,845,492.034
-53.9809,-18.5047,3,187.59,492.034
-53.9809,-17.704,3,153.79,492.034
-53.9809,-16.9032,3,344.76,492.034
-53.9809,-16.1024,3,223.08,492.034
-53.2874,-18.9051,3,307.58,492.034
-53.2874,-16.5028,3,201.11,492.034
-61.6595,-23.7965,3,229.84,492.034
-58.8354,-19.7059,4,214.63,492.034
-56.7549,-19.3055,4,104.78,492.034
-56.7549,-11.2976,4,326.17,492.034
-56.0614,-17.3036,4,253.5,492.034
-56.0614,-16.5028,4,194.35,492.034
-56.0614,-13.2996,4,140.27,492.034
-56.0614,-10.0965,4,89.57,492.034
-55.3679,-19.3055,4,103.09,492.034
-55.3679,-18.5047,4,172.38,492.034
-55.3679,-17.704,4,2796.89,492.034
-55.3679,-16.9032,4,894.01,492.034
-54.6744,-20.5067,4,290.68,492.034
-54.6744,-19.7059,4,153.79,492.034
-54.6744,-18.9051,4,572.91,492.034
-54.6744,-18.1043,4,1353.6,492.034
-54.6744,-17.3036,4,19607,492.034
-54.6744,-16.5028,4,148.72,492.034
-53.9809,-19.3055,4,939.64,492.034
-53.9809,-17.704,4,505.31,492.034
-53.9809,-16.9032,4,123.37,492.034
-53.2874,-20.5067,4,192.66,492.034
-53.2874,-19.7059,4,339.69,492.034
-52.5939,-17.704,4,133.51,492.034
-51.1569,-22.5953,4,121.68,492.034
-47.6894,-30.2028,4,94.64,492.034
-59.5289,-15.3016,5,427.57,492.034
-58.1419,-19.3055,5,231.53,492.034
-58.1419,-14.5008,5,207.87,492.034
-57.4484,-16.5028,5,454.61,492.034
-56.7549,-21.7079,5,258.57,492.034
-56.7549,-17.704,5,221.39,492.034
-56.0614,-18.1043,5,1098.9,492.034
-56.0614,-17.3036,5,1480.95,492.034
-56.0614,-16.5028,5,297.44,492.034
-56.0614,-15.702,5,650.65,492.034
-55.3679,-20.1063,5,108.16,492.034
-55.3679,-19.3055,5,353.21,492.034
-55.3679,-18.5047,5,1565.85,492.034
-55.3679,-17.704,5,26526.3,492.034
-55.3679,-16.9032,5,4707.13,492.034
-55.3679,-16.1024,5,354.9,492.034
-54.6744,-19.7059,5,520.52,492.034
-54.6744,-18.9051,5,584.74,492.034
-54.6744,-18.1043,5,2881.79,492.034
-54.6744,-17.3036,5,4537.33,492.034
-54.6744,-16.5028,5,216.32,492.034
-54.6744,-14.9012,5,148.72,492.034
-53.9809,-20.1063,5,106.47,492.034
-53.9809,-19.3055,5,398.84,492.034
-53.9809,-18.5047,5,346.45,492.034
-53.9809,-17.704,5,961.61,492.034
-53.9809,-16.9032,5,420.81,492.034
-53.9809,-16.1024,5,92.95,492.034
-53.2874,-18.1043,5,140.27,492.034
-53.2874,-14.9012,5,126.75,492.034
-52.5939,-19.3055,5,779.09,492.034
-52.5939,-16.1024,5,116.61,492.034
-51.9004,-18.9051,5,113.23,492.034
-41.3479,-28.2008,5,194.35,492.034
-63.69,-17.704,6,143.65,492.034
-60.2225,-18.9051,6,260.26,492.034
-58.1419,-19.3055,6,89.57,492.034
-58.1419,-12.0984,6,103.09,492.034
-57.4484,-17.3036,6,153.79,492.034
-56.7549,-20.1063,6,158.86,492.034
-56.7549,-19.3055,6,114.92,492.034
-56.7549,-18.5047,6,294.06,492.034
-56.7549,-17.704,6,250.12,492.034
-56.7549,-16.9032,6,292.37,492.034
-56.0614,-18.9051,6,297.44,492.034
-56.0614,-18.1043,6,1268.7,492.034
-56.0614,-17.3036,6,3985.48,492.034
-56.0614,-16.5028,6,185.9,492.034
-56.0614,-15.702,6,140.27,492.034
-55.3679,-20.1063,6,387.01,492.034
-55.3679,-19.3055,6,108.16,492.034
-55.3679,-18.5047,6,2117.69,492.034
-55.3679,-17.704,6,41893.1,492.034
-55.3679,-16.9032,6,2711.99,492.034
-55.3679,-16.1024,6,1183.8,492.034
-54.6744,-21.3075,6,143.65,492.034
-54.6744,-19.7059,6,1480.95,492.034
-54.6744,-18.9051,6,334.62,492.034
-54.6744,-18.1043,6,1693.2,492.034
-54.6744,-17.3036,6,2075.24,492.034
-54.6744,-16.5028,6,410.67,492.034
-54.6744,-15.702,6,209.56,492.034
-54.6744,-14.9012,6,218.01,492.034
-53.9809,-20.1063,6,228.15,492.034
-53.9809,-19.3055,6,228.15,492.034
-53.9809,-16.9032,6,152.1,492.034
-53.2874,-18.1043,6,140.27,492.034
-53.2874,-16.5028,6,199.42,492.034
-52.5939,-16.9032,6,148.72,492.034
-51.9004,-13.2996,6,145.34,492.034
-51.2069,-10.4969,6,378.56,492.034
-51.2069,-9.69607,6,184.21,492.034
-48.3829,-21.7945,6,194.35,492.034
-47.6894,-23.7965,6,226.46,492.034
-49.0264,-14.1004,7,174.07,492.034
-48.3329,-18.5047,7,157.17,492.034
-46.9459,-13.7,7,255.19,492.034
-65.077,-18.5047,7,118.3,492.034
-65.077,-14.5008,7,126.75,492.034
-61.6095,-14.1004,7,182.52,492.034
-60.2225,-9.29567,7,121.68,492.034
-58.1419,-20.9071,7,170.69,492.034
-58.1419,-18.5047,7,167.31,492.034
-57.4484,-18.1043,7,170.69,492.034
-57.4484,-17.3036,7,407.29,492.034
-57.4484,-16.5028,7,405.6,492.034
-57.4484,-14.9012,7,184.21,492.034
-56.7549,-20.9071,7,229.84,492.034
-56.7549,-20.1063,7,99.71,492.034
-56.7549,-19.3055,7,214.63,492.034
-56.7549,-18.5047,7,877.11,492.034
-56.7549,-17.704,7,3136.49,492.034
-56.7549,-16.9032,7,2329.94,492.034
-56.7549,-16.1024,7,275.47,492.034
-56.7549,-15.3016,7,381.94,492.034
-56.0614,-19.7059,7,282.23,492.034
