X,Y,Layer,Eff_ADC,E
54.2121,39.0981,1,329.55,567.885
59.0666,45.104,1,111.54,567.885
59.7601,44.7036,1,199.42,567.885
60.4536,41.9008,1,170.69,567.885
60.4536,43.5024,1,608.4,567.885
60.4536,44.3032,1,934.57,567.885
61.1471,43.102,1,1141.35,567.885
61.1471,43.9028,1,1268.7,567.885
61.8406,43.5024,1,121.68,567.885
62.5341,43.9028,1,150.41,567.885
63.9211,42.3012,1,189.28,567.885
46.5336,30.6032,2,133.51,567.885
54.1621,31.0036,2,180.83,567.885
59.0666,45.104,2,96.33,567.885
59.7601,43.9028,2,265.33,567.885
60.4536,43.5024,2,904.15,567.885
60.4536,44.3032,2,3476.08,567.885
60.4536,45.104,2,312.65,567.885
61.1471,43.102,2,1480.95,567.885
61.1471,43.9028,2,5556.12,567.885
61.1471,44.7036,2,319.41,567.885
61.8406,42.7016,2,169,567.885
61.8406,43.5024,2,292.37,567.885
61.8406,44.3032,2,113.23,567.885
63.9211,42.3012,2,261.95,567.885
66.0016,41.9008,2,212.94,567.885
66.0016,42.7016,2,310.96,567.885
72.9211,46.5054,2,115,567.885
62.4685,51.3967,2,89,567.885
55.5991,46.3052,3,162.24,567.885
58.3731,41.5004,3,116.61,567.885
59.0666,45.104,3,199.42,567.885
59.0666,45.9048,3,545.87,567.885
59.7601,43.9028,3,94.64,567.885
59.7601,44.7036,3,125.06,567.885
59.7601,45.5044,3,603.33,567.885
60.4536,43.5024,3,397.15,567.885
60.4536,44.3032,3,1014,567.885
60.4536,45.104,3,2414.84,567.885
60.4536,45.9048,3,275.47,567.885
61.1471,39.8988,3,136.89,567.885
61.1471,43.102,3,907.53,567.885
61.1471,43.9028,3,8442.7,567.885
61.1471,44.7036,3,3178.94,567.885
61.1471,45.5044,3,588.12,567.885
61.8406,42.7016,3,436.02,567.885
61.8406,43.5024,3,3688.33,567.885
61.8406,44.3032,3,1905.44,567.885
61.8406,45.104,3,512.07,567.885
61.8406,45.9048,3,96.33,567.885
62.5341,42.3012,3,245.05,567.885
62.5341,43.102,3,456.3,567.885
62.5341,43.9028,3,517.14,567.885
62.5341,44.7036,3,224.77,567.885
63.2276,41.9008,3,109.85,567.885
63.2276,42.7016,3,133.51,567.885
66.0016,41.1,3,187.59,567.885
59.3478,53.1985,3,153,567.885
65.5893,54.3996,3,181,567.885
56.9861,43.102,4,152.1,567.885
58.3731,43.102,4,108.16,567.885
58.3731,44.7036,4,147.03,567.885
