X,Y,Layer,Eff_ADC,E
1.84934,-62.8079,1,133.51,231.971
1.84934,-62.0071,1,236.6,231.971
20.6739,-60.0052,1,86.19,231.971
22.7544,-60.4056,1,87.88,231.971
-8.60321,-68.9004,1,236.6,231.971
-5.82919,-72.9044,1,87.88,231.971
-5.13569,-73.3048,1,211.25,231.971
-5.13569,-72.504,1,679.38,231.971
-5.13569,-71.7032,1,172.38,231.971
-4.44219,-72.9044,1,307.58,231.971
-3.74868,-73.3048,1,111.54,231.971
-3.74868,-72.504,1,351.52,231.971
-3.05518,-72.9044,1,1098.9,231.971
-3.05518,-72.1036,1,310.96,231.971
-2.36168,-73.3048,1,697.97,231.971
-2.36168,-72.504,1,736.84,231.971
-1.66817,-72.9044,1,153.79,231.971
-1.66817,-72.1036,1,302.51,231.971
22.7544,-60.4056,2,87.88,231.971
-11.3772,-75.3068,2,250.12,231.971
-5.82919,-72.1036,2,209.56,231.971
-5.13569,-73.3048,2,535.73,231.971
-4.44219,-72.9044,2,466.44,231.971
-3.74868,-78.9103,2,169,231.971
-3.74868,-73.3048,2,1014,231.971
-3.05518,-73.7052,2,843.31,231.971
-3.05518,-72.9044,2,3645.88,231.971
-2.36168,-74.1056,2,104.78,231.971
-2.36168,-73.3048,2,3858.13,231.971
-2.36168,-72.504,2,87.88,231.971
-1.66817,-75.3068,2,87.88,231.971
-1.66817,-73.7052,2,187.59,231.971
-1.66817,-72.9044,2,182.52,231.971
1.20584,-72.1036,2,98.02,231.971
-4.50777,-82.8007,2,130,231.971
0.462336,-63.6087,3,141.96,231.971
-9.99021,-68.9004,3,114.92,231.971
-8.60321,-78.5099,3,136.89,231.971
-5.82919,-76.1075,3,96.33,231.971
-5.82919,-74.506,3,131.82,231.971
-5.82919,-73.7052,3,295.75,231.971
-5.13569,-74.9064,3,285.61,231.971
-5.13569,-74.1056,3,106.47,231.971
-5.13569,-73.3048,3,1862.99,231.971
-5.13569,-72.504,3,152.1,231.971
-4.44219,-74.506,3,550.94,231.971
-4.44219,-73.7052,3,943.02,231.971
-4.44219,-72.9044,3,275.47,231.971
-4.44219,-72.1036,3,119.99,231.971
-3.74868,-74.9064,3,160.55,231.971
-3.74868,-74.1056,3,599.95,231.971
-3.74868,-73.3048,3,1565.85,231.971
-3.74868,-72.504,3,190.97,231.971
-3.05518,-74.506,3,326.17,231.971
-3.05518,-73.7052,3,7423.91,231.971
-3.05518,-72.9044,3,1141.35,231.971
-3.05518,-72.1036,3,118.3,231.971
-2.36168,-74.9064,3,457.99,231.971
-2.36168,-74.1056,3,1650.75,231.971
-2.36168,-73.3048,3,4240.18,231.971
-1.66817,-73.7052,3,598.26,231.971
-1.66817,-72.9044,3,491.79,231.971
-1.66817,-72.1036,3,136.89,231.971
-1.66817,-70.502,3,226.46,231.971
-0.974671,-72.504,3,523.9,231.971
-0.974671,-70.9024,3,329.55,231.971
-0.281168,-72.9044,3,185.9,231.971
11.6084,-70.1016,3,202.8,231.971
19.3369,-68.9004,3,130.13,231.971
-3.46752,-85.8036,3,162,231.971
19.2869,-53.5989,4,177.45,231.971
23.4479,-60.806,4,185.9,231.971
-9.99021,-72.1036,4,101.4,231.971
-7.2162,-73.7052,4,104.78,231.971
-5.13569,-75.7071,4,140.27,231.971
-5.13569,-74.1056,4,2032.79,231.971
-5.13569,-73.3048,4,1311.15,231.971
-5.13569,-72.504,4,125.06,231.971
-5.13569,-70.9024,4,104.78,231.971
-4.44219,-75.3068,4,116.61,231.971
-4.44219,-74.506,4,611.78,231.971
-4.44219,-73.7052,4,1820.54,231.971
-4.44219,-72.9044,4,464.75,231.971
-4.44219,-72.1036,4,295.75,231.971
-4.44219,-71.3028,4,101.4,231.971
-3.74868,-75.7071,4,267.02,231.971
-3.74868,-74.1056,4,3094.04,231.971
-3.74868,-73.3048,4,785.85,231.971
-3.74868,-70.9024,4,106.47,231.971
-3.05518,-75.3068,4,123.37,231.971
-3.05518,-74.506,4,1735.65,231.971
-3.05518,-73.7052,4,12602.8,231.971
-3.05518,-72.9044,4,370.11,231.971
-2.36168,-74.9064,4,239.98,231.971
-2.36168,-74.1056,4,11371.7,231.971
-2.36168,-73.3048,4,2032.79,231.971
-2.36168,-72.504,4,282.23,231.971
-1.66817,-74.506,4,1056.45,231.971
-1.66817,-73.7052,4,787.54,231.971
