X,Y,Layer,Eff_ADC,E
-62.353,-4.00394,1,241.67,431.849
-60.966,-5.60552,1,660.79,431.849
-60.966,-4.80473,1,1650.75,431.849
-60.966,-4.00394,1,473.2,431.849
-60.2725,-5.20513,1,189.28,431.849
-60.2725,-4.40434,1,300.82,431.849
-60.2725,-1.20118,1,130.13,431.849
-64.3835,-15.702,1,138.58,431.849
-58.8354,-9.29567,1,145.34,431.849
-58.0919,-3.20315,2,128.44,431.849
-54.6244,-1.20118,2,278.85,431.849
-72.7555,-6.00592,2,163.93,431.849
-63.0465,-2.00197,2,153.79,431.849
-61.6595,-4.40434,2,686.14,431.849
-60.966,-5.60552,2,3476.08,431.849
-60.966,-4.80473,2,6362.67,431.849
-60.966,-4.00394,2,1693.2,431.849
-60.966,-0.800789,2,358.28,431.849
-60.2725,-5.20513,2,611.78,431.849
-60.2725,-4.40434,2,187.59,431.849
-60.2725,-1.20118,2,261.95,431.849
-59.5289,-8.89528,2,96.33,431.849
-59.5289,-6.49291,2,216.32,431.849
-72.112,-13.7,2,99.71,431.849
-58.0919,2.40237,3,87.88,431.849
-51.8504,-4.40434,3,103.09,431.849
-63.0465,-6.00592,3,179.14,431.849
-62.353,-5.60552,3,145.34,431.849
-62.353,-4.80473,3,133.51,431.849
-62.353,-4.00394,3,246.74,431.849
-61.6595,-6.00592,3,1396.05,431.849
-61.6595,-5.20513,3,1480.95,431.849
-61.6595,-4.40434,3,6787.16,431.849
-61.6595,-3.60355,3,640.51,431.849
-61.6595,-2.80276,3,371.8,431.849
-61.6595,-1.20118,3,92.95,431.849
-61.6595,-0.400394,3,155.48,431.849
-60.966,-5.60552,3,4792.03,431.849
-60.966,-4.80473,3,4792.03,431.849
-60.966,-4.00394,3,1438.5,431.849
-60.966,-3.20315,3,419.12,431.849
-60.966,-1.60158,3,138.58,431.849
-60.966,-0.800789,3,647.27,431.849
-60.2725,-5.20513,3,520.52,431.849
-60.2725,-4.40434,3,380.25,431.849
-60.2725,-3.60355,3,119.99,431.849
-60.2725,-0.400394,3,130.13,431.849
-58.8854,-4.40434,3,199.42,431.849
-60.916,-7.2937,3,175.76,431.849
-60.2225,-6.09252,3,373.49,431.849
-59.5289,-5.69212,3,182.52,431.849
-56.7549,-8.09449,3,179.14,431.849
-57.3984,-0.400394,4,246.74,431.849
-56.7049,-2.40237,4,126.75,431.849
-48.3829,-3.20315,4,145.34,431.849
-72.7555,-2.80276,4,199.42,431.849
-65.8205,-4.40434,4,177.45,431.849
-63.0465,-6.8067,4,163.93,431.849
-63.0465,-4.40434,4,207.87,431.849
-62.353,-5.60552,4,652.34,431.849
-62.353,-4.80473,4,206.18,431.849
-62.353,-4.00394,4,408.98,431.849
-61.6595,-6.00592,4,6872.06,431.849
-61.6595,-5.20513,4,6490.02,431.849
-61.6595,-4.40434,4,17993.9,431.849
-61.6595,-3.60355,4,354.9,431.849
-61.6595,-2.80276,4,250.12,431.849
-61.6595,-1.20118,4,197.73,431.849
-60.966,-5.60552,4,1820.54,431.849
-60.966,-4.80473,4,1947.89,431.849
-60.966,-4.00394,4,483.34,431.849
-60.966,-2.40237,4,96.33,431.849
-60.966,-1.60158,4,140.27,431.849
-60.966,-0.800789,4,1014,431.849
-60.2725,-5.20513,4,162.24,431.849
-60.2725,-4.40434,4,250.12,431.849
-58.8854,-0.400394,4,89.57,431.849
-58.1419,7.2937,4,160.55,431.849
-63.69,-15.3016,4,141.96,431.849
-62.9965,-8.49488,4,147.03,431.849
-61.6095,-6.89331,4,288.99,431.849
-60.2225,-8.49488,4,121.68,431.849
-60.2225,-6.89331,4,89.57,431.849
-60.2225,-6.09252,4,162.24,431.849
-58.8354,-6.89331,4,96.33,431.849
-58.8354,-5.29173,4,157.17,431.849
-58.1419,-6.49291,4,155.48,431.849
-58.0919,0,5,256.88,431.849
-67.2075,-6.8067,5,143.65,431.849
-65.8205,-2.00197,5,1014,431.849
-65.127,-6.40631,5,287.3,431.849
-65.127,-4.80473,5,361.66,431.849
-64.4335,-5.20513,5,1353.6,431.849
-64.4335,-4.40434,5,439.4,431.849
-63.74,-5.60552,5,126.75,431.849
-63.74,-4.80473,5,189.28,431.849
-63.74,-4.00394,5,172.38,431.849
-63.74,-3.20315,5,368.42,431.849
-63.74,-2.40237,5,155.48,431.849
-63.0465,-6.00592,5,267.02,431.849
-63.0465,-5.20513,5,1024.14,431.849
-63.0465,-4.40434,5,2117.69,431.849
-63.0465,-3.60355,5,615.16,431.849
-63.0465,-2.80276,5,260.26,431.849
-62.353,-6.40631,5,1226.25,431.849
-62.353,-5.60552,5,2966.69,431.849
-62.353,-4.80473,5,12815,431.849
-62.353,-4.00394,5,3178.94,431.849
-62.353,-3.20315,5,517.14,431.849
-61.6595,-6.00592,5,6405.12,431.849
-61.6595,-5.20513,5,8739.85,431.849
-61.6595,-4.40434,5,14088.5,431.849
-61.6595,-3.60355,5,1183.8,431.849
-61.6595,-2.80276,5,92.95,431.849
-61.6595,-2.00197,5,214.63,431.849
-61.6595,-1.20118,5,593.19,431.849
-61.6595,-0.400394,5,238.29,431.849
-60.966,-5.60552,5,1523.4,431.849
-60.966,-4.80473,5,1226.25,431.849
-60.966,-4.00394,5,780.78,431.849
-60.966,-3.20315,5,179.14,431.849
-60.966,-0.800789,5,89.57,431.849
-60.2725,-5.20513,5,299.13,431.849
-60.2725,-4.40434,5,148.72,431.849
-60.2725,-0.400394,5,94.64,431.849
-63.69,-8.09449,5,199.42,431.849
-62.303,-7.2937,5,125.06,431.849
-61.6095,-6.89331,5,224.77,431.849
-60.916,-6.49291,5,233.22,431.849
-60.2225,-7.6941,5,153.79,431.849
-60.2225,-6.89331,5,218.01,431.849
-60.2225,-6.09252,5,231.53,431.849
-59.5289,-5.69212,5,292.37,431.849
-54.6744,-10.8972,5,135.2,431.849
-72.8055,-8.49488,5,170.69,431.849
-72.112,-8.09449,5,104.78,431.849
-70.0315,-12.4988,5,91.26,431.849
-58.0919,0.800789,6,92.95,431.849
-68.5945,-6.00592,6,113.23,431.849
-68.5945,-5.20513,6,92.95,431.849
-65.8205,-7.60749,6,373.49,431.849
-65.8205,-6.8067,6,170.69,431.849
-65.127,-7.2071,6,153.79,431.849
-65.127,0.800789,6,182.52,431.849
-64.4335,-4.40434,6,114.92,431.849
-63.74,-5.60552,6,106.47,431.849
-63.74,-4.80473,6,175.76,431.849
-63.0465,-6.8067,6,263.64,431.849
-63.0465,-6.00592,6,731.77,431.849
-63.0465,-5.20513,6,812.89,431.849
-63.0465,-4.40434,6,789.23,431.849
-63.0465,-3.60355,6,1010.62,431.849
-63.0465,-2.80276,6,138.58,431.849
-62.353,-6.40631,6,860.21,431.849
-62.353,-5.60552,6,5471.22,431.849
-62.353,-4.80473,6,32257,431.849
-62.353,-4.00394,6,5938.17,431.849
-62.353,-3.20315,6,534.04,431.849
