X,Y,Layer,Eff_ADC,E
-39.9609,-32.2048,1,160.55,1011.35
-39.2674,-35.0075,1,238.29,1011.35
-38.5739,-35.4079,1,204.49,1011.35
-38.5739,-30.6032,1,109.85,1011.35
-37.8803,-35.8083,1,87.88,1011.35
-37.1868,-36.2087,1,2966.69,1011.35
-36.4933,-36.6091,1,223.08,1011.35
-30.9453,-36.6091,1,113.23,1011.35
-50.4634,-35.8083,1,167.31,1011.35
-43.5284,-24.5973,1,211.25,1011.35
-38.6239,-37.8969,1,141.96,1011.35
-37.9303,-36.6957,1,111.54,1011.35
-37.2368,-37.0961,1,278.85,1011.35
-35.8498,-37.8969,1,169,1011.35
-41.3479,-30.6032,2,804.44,1011.35
-40.6544,-32.6051,2,89.57,1011.35
-37.8803,-35.8083,2,204.49,1011.35
-37.1868,-36.2087,2,997.1,1011.35
-36.4933,-36.6091,2,103.09,1011.35
-36.4933,-34.2067,2,121.68,1011.35
-34.4128,-33.0055,2,125.06,1011.35
-28.8648,-34.6071,2,219.7,1011.35
-48.3329,-37.8969,2,123.37,1011.35
-40.0109,-38.6977,2,236.6,1011.35
-38.6239,-37.0961,2,109.85,1011.35
-38.6239,-36.2953,2,540.8,1011.35
-37.9303,-36.6957,2,3688.33,1011.35
-37.2368,-37.0961,2,1905.44,1011.35
-41.3979,10.4969,3,86.19,1011.35
-43.4784,-17.3036,3,231.53,1011.35
-41.3479,-30.6032,3,121.68,1011.35
-40.6544,-32.6051,3,169,1011.35
-39.9609,-33.0055,3,116.61,1011.35
-39.9609,-32.2048,3,234.91,1011.35
-37.8803,-35.8083,3,730.08,1011.35
-37.1868,-36.2087,3,1183.8,1011.35
-37.1868,-35.4079,3,528.97,1011.35
-36.4933,-36.6091,3,179.14,1011.35
-36.4933,-35.8083,3,170.69,1011.35
-33.0258,-37.0095,3,141.96,1011.35
-33.0258,-33.8063,3,128.44,1011.35
-32.3323,-32.6051,3,101.4,1011.35
-42.1414,-31.0036,3,96.33,1011.35
-30.8953,-39.8988,3,158.86,1011.35
-30.2018,-40.2992,3,224.77,1011.35
-40.0109,-37.8969,3,899.08,1011.35
-38.6239,-37.8969,3,221.39,1011.35
-38.6239,-37.0961,3,718.25,1011.35
-38.6239,-36.2953,3,1183.8,1011.35
-37.9303,-37.4965,3,855.14,1011.35
-37.9303,-36.6957,3,17526.9,1011.35
-37.2368,-37.8969,3,496.86,1011.35
-37.2368,-37.0961,3,5174.07,1011.35
-36.5433,-37.4965,3,606.71,1011.35
-43.4784,-17.3036,4,348.14,1011.35
-41.3479,-30.6032,4,187.59,1011.35
-40.6544,-33.4059,4,660.79,1011.35
-40.6544,-32.6051,4,802.75,1011.35
-39.2674,-32.6051,4,111.54,1011.35
-38.5739,-28.2008,4,133.51,1011.35
-38.5739,-27.4,4,224.77,1011.35
-37.8803,-35.8083,4,510.38,1011.35
-37.8803,-35.0075,4,408.98,1011.35
-37.1868,-36.2087,4,801.06,1011.35
-37.1868,-35.4079,4,358.28,1011.35
-36.4933,-36.6091,4,518.83,1011.35
-36.4933,-35.8083,4,204.49,1011.35
-36.4933,-35.0075,4,111.54,1011.35
-36.4933,-34.2067,4,174.07,1011.35
-35.7998,-37.0095,4,116.61,1011.35
-35.1063,-36.6091,4,113.23,1011.35
-35.1063,-35.0075,4,101.4,1011.35
-33.7193,-29.402,4,113.23,1011.35
-46.9959,-29.8024,4,165.62,1011.35
-42.1414,-31.0036,4,334.62,1011.35
-46.2524,-47.9067,4,138.58,1011.35
-46.2524,-41.5004,4,180.83,1011.35
-40.7044,-36.6957,4,116.61,1011.35
-40.0109,-39.4985,4,238.29,1011.35
-40.0109,-37.8969,4,170.69,1011.35
-39.3174,-39.0981,4,185.9,1011.35
-39.3174,-38.2973,4,138.58,1011.35
-39.3174,-37.4965,4,170.69,1011.35
-39.3174,-35.8949,4,243.36,1011.35
-38.6239,-37.8969,4,163.93,1011.35
-38.6239,-37.0961,4,2414.84,1011.35
-38.6239,-36.2953,4,909.22,1011.35
-37.9303,-38.2973,4,686.14,1011.35
-37.9303,-37.4965,4,2075.24,1011.35
-37.9303,-36.6957,4,43676,1011.35
-37.2368,-39.4985,4,329.55,1011.35
-37.2368,-38.6977,4,150.41,1011.35
-37.2368,-37.8969,4,278.85,1011.35
-37.2368,-37.0961,4,4197.73,1011.35
-36.5433,-37.4965,4,380.25,1011.35
-35.8498,-37.8969,4,184.21,1011.35
-33.7693,-42.3012,4,177.45,1011.35
-41.3479,-32.2048,5,106.47,1011.35
-40.6544,-34.2067,5,224.77,1011.35
-40.6544,-32.6051,5,348.14,1011.35
-39.9609,-34.6071,5,184.21,1011.35
-39.9609,-32.2048,5,219.7,1011.35
-38.5739,-35.4079,5,547.56,1011.35
-37.8803,-35.8083,5,801.06,1011.35
-37.8803,-35.0075,5,182.52,1011.35
-37.1868,-36.2087,5,1693.2,1011.35
-37.1868,-35.4079,5,96.33,1011.35
-36.4933,-36.6091,5,635.44,1011.35
-36.4933,-35.8083,5,554.32,1011.35
-35.1063,-36.6091,5,194.35,1011.35
-33.7193,-36.6091,5,165.62,1011.35
-43.5284,-32.6051,5,177.45,1011.35
-42.8349,-31.404,5,270.4,1011.35
-42.1414,-31.0036,5,434.33,1011.35
-24.6538,-39.4985,5,197.73,1011.35
-42.0914,-40.6996,5,136.89,1011.35
-40.7044,-37.4965,5,163.93,1011.35
-40.0109,-40.2992,5,263.64,1011.35
-40.0109,-38.6977,5,133.51,1011.35
-40.0109,-37.0961,5,1014,1011.35
-40.0109,-35.4945,5,228.15,1011.35
-39.3174,-38.2973,5,927.81,1011.35
-39.3174,-37.4965,5,1014,1011.35
-39.3174,-36.6957,5,1005.55,1011.35
-39.3174,-35.8949,5,464.75,1011.35
-38.6239,-38.6977,5,444.47,1011.35
-38.6239,-37.8969,5,2032.79,1011.35
-38.6239,-37.0961,5,9885.99,1011.35
-38.6239,-36.2953,5,3178.94,1011.35
-37.9303,-42.3012,5,86.19,1011.35
-37.9303,-38.2973,5,2075.24,1011.35
-37.9303,-37.4965,5,22196.4,1011.35
-37.9303,-36.6957,5,41680.8,1011.35
-37.2368,-40.2992,5,135.2,1011.35
-37.2368,-39.4985,5,300.82,1011.35
-37.2368,-38.6977,5,785.85,1011.35
-37.2368,-37.8969,5,1990.34,1011.35
-37.2368,-37.0961,5,5471.22,1011.35
-36.5433,-40.6996,5,87.88,1011.35
-36.5433,-38.2973,5,1029.21,1011.35
-36.5433,-37.4965,5,2032.79,1011.35
-35.8498,-38.6977,5,283.92,1011.35
-35.8498,-37.8969,5,245.05,1011.35
-34.4628,-46.7056,5,302.51,1011.35
-53.2874,-38.2973,5,96.33,1011.35
44.403,7.6941,6,424.19,1011.35
-44.1719,-17.704,6,201.11,1011.35
-40.7044,-18.1043,6,152.1,1011.35
-41.3479,-33.8063,6,98.02,1011.35
-40.6544,-33.4059,6,179.14,1011.35
-40.6544,-32.6051,6,190.97,1011.35
-39.9609,-33.8063,6,368.42,1011.35
-38.5739,-35.4079,6,175.76,1011.35
-38.5739,-34.6071,6,130.13,1011.35
-37.8803,-35.8083,6,437.71,1011.35
-37.8803,-35.0075,6,94.64,1011.35
-37.8803,-32.6051,6,130.13,1011.35
-37.1868,-36.2087,6,356.59,1011.35
-37.1868,-35.4079,6,204.49,1011.35
-37.1868,-33.8063,6,294.06,1011.35
-36.4933,-36.6091,6,153.79,1011.35
-36.4933,-33.4059,6,106.47,1011.35
-36.4933,-31.0036,6,201.11,1011.35
-35.7998,-37.0095,6,143.65,1011.35
-35.7998,-36.2087,6,579.67,1011.35
-35.7998,-33.0055,6,87.88,1011.35
-35.7998,-31.404,6,125.06,1011.35
-35.7998,-28.2008,6,430.95,1011.35
-34.4128,-37.0095,6,218.01,1011.35
-45.6089,-35.4079,6,103.09,1011.35
-42.8349,-31.404,6,390.39,1011.35
-42.8349,-30.6032,6,138.58,1011.35
-42.1414,-31.0036,6,736.84,1011.35
-42.1414,-30.2028,6,125.06,1011.35
-32.2823,-46.3052,6,138.58,1011.35
-31.5888,-37.8969,6,189.28,1011.35
-46.9459,-37.0961,6,258.57,1011.35
-45.5589,-37.8969,6,152.1,1011.35
-44.1719,-37.0961,6,101.4,1011.35
-43.4784,-39.8988,6,101.4,1011.35
-41.3979,-45.9048,6,94.64,1011.35
-40.7044,-39.0981,6,126.75,1011.35
-40.7044,-38.2973,6,113.23,1011.35
-40.7044,-36.6957,6,201.11,1011.35
-40.7044,-35.8949,6,109.85,1011.35
-40.0109,-41.9008,6,118.3,1011.35
-40.0109,-39.4985,6,412.36,1011.35
-40.0109,-38.6977,6,412.36,1011.35
-40.0109,-37.8969,6,233.22,1011.35
-40.0109,-37.0961,6,277.16,1011.35
-40.0109,-36.2953,6,288.99,1011.35
-39.3174,-41.5004,6,114.92,1011.35
-39.3174,-38.2973,6,572.91,1011.35
-39.3174,-37.4965,6,1438.5,1011.35
-39.3174,-36.6957,6,1565.85,1011.35
-39.3174,-35.8949,6,750.36,1011.35
-38.6239,-39.4985,6,114.92,1011.35
-38.6239,-38.6977,6,638.82,1011.35
-38.6239,-37.8969,6,5895.72,1011.35
-38.6239,-37.0961,6,37266.1,1011.35
-38.6239,-36.2953,6,2287.49,1011.35
-37.9303,-40.6996,6,104.78,1011.35
-37.9303,-39.8988,6,123.37,1011.35
-37.9303,-39.0981,6,312.65,1011.35
-37.9303,-38.2973,6,1523.4,1011.35
-37.9303,-37.4965,6,48387.9,1011.35
-37.9303,-36.6957,6,20922.9,1011.35
-37.2368,-41.1,6,89.57,1011.35
-37.2368,-38.6977,6,361.66,1011.35
-37.2368,-37.8969,6,959.92,1011.35
-37.2368,-37.0961,6,3433.63,1011.35
-36.5433,-39.0981,6,218.01,1011.35
-36.5433,-38.2973,6,167.31,1011.35
-36.5433,-37.4965,6,1098.9,1011.35
-35.8498,-37.8969,6,292.37,1011.35
-35.1563,-44.7036,6,118.3,1011.35
-51.9004,-43.102,6,312.65,1011.35
-39.2674,-52.7981,6,94.64,1011.35
-46.3024,2.80276,7,148.72,1011.35
-47.6394,-14.1004,7,182.52,1011.35
-43.4784,-15.702,7,197.73,1011.35
-41.3979,-17.704,7,91.26,1011.35
-41.3479,-33.8063,7,116.61,1011.35
-41.3479,-32.2048,7,439.4,1011.35
-39.2674,-34.2067,7,111.54,1011.35
-38.5739,-35.4079,7,141.96,1011.35
-37.8803,-35.8083,7,745.29,1011.35
-37.1868,-36.2087,7,1014,1011.35
-37.1868,-35.4079,7,118.3,1011.35
-37.1868,-34.6071,7,119.99,1011.35
-37.1868,-33.8063,7,238.29,1011.35
-36.4933,-36.6091,7,248.43,1011.35
-36.4933,-35.8083,7,206.18,1011.35
-36.4933,-35.0075,7,98.02,1011.35
-36.4933,-34.2067,7,118.3,1011.35
-36.4933,-33.4059,7,128.44,1011.35
-35.7998,-37.0095,7,283.92,1011.35
-35.7998,-35.4079,7,172.38,1011.35
-35.7998,-34.6071,7,500.24,1011.35
-35.7998,-33.0055,7,89.57,1011.35
-29.5583,-30.2028,7,104.78,1011.35
-28.8648,-29.8024,7,121.68,1011.35
-53.2374,-29.402,7,94.64,1011.35
-49.0764,-35.0075,7,98.02,1011.35
-46.9959,-36.2087,7,228.15,1011.35
